num,school,department,discipline_name,gsat,chi,eng,math_a,math_b,phy,che,bio,his,geo,cit,ele,same_1,same_2,same_3,rank_108,select_score_108,ori_score_108,avg_108,num_want_108,num_sel_108,low_108,high_108,people_in_108,percent_in_108,rank_107,select_score_107,ori_score_107,avg_107,num_want_107,num_sel_107,low_107,high_107,people_in_107,percent_in_107,profile
1122,國立東華大學,藝術與設計學系,建築與設計,,2,1,,,,,,,,,2,術科,國文,英文,5,294.05,176.43,58.81,17,17,176.01,178,2,0.0024,5,270.9,162.54,54.18,18,18,162.01,164,6,0.54,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/03426.html
1123,國立聯合大學,建築學系,建築與設計,,2,2,1.75,,,,,,,,,國文,英文,數甲,46,337.9,176.3,58.77,7,7,174.01,177,11501,0.4715,48,285.9,149.17,49.72,15,15,147.01,150,13792,57.61,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/15106.html
1124,亞洲大學,創意商品設計學系(科技商品設計組),建築與設計,,2,,,,,,,1.5,2,,,國文,歷史,地理,15,323.05,176.21,58.74,19,19,174.01,177,13983,0.5709,,,,,,,,,,,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/13435.html
1125,大同大學,工業設計學系(自然二組),建築與設計,,1,1,,,2,,,,,,,物理,英文,國文,2,233.95,175.46,58.49,3,3,174.01,177,11065,0.523,,,,,,,,,,,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01922.html
1126,國立嘉義大學,景觀學系(自然組),建築與設計,,1.5,1,1,,,,2,,,,,生物,數甲,國文,16,321.25,233.64,58.41,8,8,232.01,236,7479,0.4984,16,274,199.27,49.82,13,13,196.01,200,8515,59.17,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/10038.html
1127,輔仁大學,景觀設計學系(自然組),建築與設計,,1,1.5,1,,,,2,,,,,英文,國文,生物,17,321.1,233.53,58.38,9,9,232.01,236,7479,0.4984,11,283.45,206.15,51.54,7,7,204.01,208,8032,55.81,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/02041.html
1128,淡江大學,建築學系,建築與設計,,1.5,2,1.5,,1,1,,,,,,國文,數甲,英文,206,408.6,291.86,58.37,28,28,290.01,295,9364,0.4546,201,380.4,271.71,54.34,30,30,270.01,275,9770,48.91,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01434.html
1129,銘傳大學,建築學系(桃園校區),建築與設計,,2,2,,1,,,,,,,,國文,英文,數乙,230,291.2,174.72,58.24,20,20,174.01,177,17029,0.48,203,234,140.4,46.8,23,23,138.01,141,21657,56.81,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04624.html
1130,國立聯合大學,工業設計學系(自然組),建築與設計,,2,2,1.5,,,,,,,,,英文,國文,數甲,48,316.2,172.47,57.49,4,4,171.01,174,11983,0.4913,62,255.6,139.42,46.47,12,12,138.01,141,14936,62.39,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/15123.html
1131,銘傳大學,數位媒體設計學系動畫影視組(桃園校區),建築與設計,,1.5,1.5,,,,,,1,1,,,國文,英文,歷史,45,287.13,229.7,57.43,14,14,228.01,232,11973,0.4892,45,259.95,207.96,51.99,18,18,204.01,208,15074,56.09,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/04638.html
1132,大同大學,工業設計學系(自然一組),建築與設計,,2,2,1,,,,,,,,,英文,國文,數甲,49,286.8,172.08,57.36,7,7,171.01,174,11983,0.4913,61,236.86,142.12,47.37,13,13,141.01,144,14566,60.84,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01916.html
1133,長庚大學,工業設計學系(自然組),建築與設計,,1,1.5,1.5,,,,,,,,,數甲,英文,國文,52,227.78,170.84,56.95,8,8,168.01,171,12460,0.5108,43,203.48,152.61,50.87,8,8,150.01,153,13383,55.9,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/03001.html
1134,逢甲大學,建築專業學院學士班,建築與設計,,2,2,1.75,,1,,,,,,,國文,英文,數甲,42,383.2,227.08,56.77,23,23,224.01,228,10314,0.4914,38,337.2,199.82,49.96,24,25,196.01,200,11978,58.87,https://campus4.ncku.edu.tw/uac/cross_search/dept_info/01542.html
